species,body_mass_g
Adelie,3750.0
Adelie,3800.0
Adelie,3250.0
Adelie,3450.0
Adelie,3650.0
Adelie,3625.0
Adelie,4675.0
Adelie,3200.0
Adelie,3800.0
Adelie,4400.0
Adelie,3700.0
Adelie,3450.0
Adelie,4500.0
Adelie,3325.0
Adelie,4200.0
Adelie,3400.0
Adelie,3600.0
Adelie,3800.0
Adelie,3950.0
Adelie,3800.0
Adelie,3800.0
Adelie,3550.0
Adelie,3200.0
Adelie,3150.0
Adelie,3950.0
Adelie,3250.0
Adelie,3900.0
Adelie,3300.0
Adelie,3900.0
Adelie,3325.0
Adelie,4150.0
Adelie,3950.0
Adelie,3550.0
Adelie,3300.0
Adelie,4650.0
Adelie,3150.0
Adelie,3900.0
Adelie,3100.0
Adelie,4400.0
Adelie,3000.0
Adelie,4600.0
Adelie,3425.0
Adelie,3450.0
Adelie,4150.0
Adelie,3500.0
Adelie,4300.0
Adelie,3450.0
Adelie,4050.0
Adelie,2900.0
Adelie,3700.0
Adelie,3550.0
Adelie,3800.0
Adelie,2850.0
Adelie,3750.0
Adelie,3150.0
Adelie,4400.0
Adelie,3600.0
Adelie,4050.0
Adelie,2850.0
Adelie,3950.0
Adelie,3350.0
Adelie,4100.0
Adelie,3050.0
Adelie,4450.0
Adelie,3600.0
Adelie,3900.0
Adelie,3550.0
Adelie,4150.0
Adelie,3700.0
Adelie,4250.0
Adelie,3700.0
Adelie,3900.0
Adelie,3550.0
Adelie,4000.0
Adelie,3200.0
Adelie,4700.0
Adelie,3800.0
Adelie,4200.0
Adelie,3350.0
Adelie,3550.0
Adelie,3800.0
Adelie,3500.0
Adelie,3950.0
Adelie,3600.0
Adelie,3550.0
Adelie,4300.0
Adelie,3400.0
Adelie,4450.0
Adelie,3300.0
Adelie,4300.0
Adelie,3700.0
Adelie,4350.0
Adelie,2900.0
Adelie,4100.0
Adelie,3725.0
Adelie,4725.0
Adelie,3075.0
Adelie,4250.0
Adelie,2925.0
Adelie,3550.0
Adelie,3750.0
Adelie,3900.0
Adelie,3175.0
Adelie,4775.0
Adelie,3825.0
Adelie,4600.0
Adelie,3200.0
Adelie,4275.0
Adelie,3900.0
Adelie,4075.0
Adelie,2900.0
Adelie,3775.0
Adelie,3350.0
Adelie,3325.0
Adelie,3150.0
Adelie,3500.0
Adelie,3450.0
Adelie,3875.0
Adelie,3050.0
Adelie,4000.0
Adelie,3275.0
Adelie,4300.0
Adelie,3050.0
Adelie,4000.0
Adelie,3325.0
Adelie,3500.0
Adelie,3500.0
Adelie,4475.0
Adelie,3425.0
Adelie,3900.0
Adelie,3175.0
Adelie,3975.0
Adelie,3400.0
Adelie,4250.0
Adelie,3400.0
Adelie,3475.0
Adelie,3050.0
Adelie,3725.0
Adelie,3000.0
Adelie,3650.0
Adelie,4250.0
Adelie,3475.0
Adelie,3450.0
Adelie,3750.0
Adelie,3700.0
Adelie,4000.0
Gentoo,4500.0
Gentoo,5700.0
Gentoo,4450.0
Gentoo,5700.0
Gentoo,5400.0
Gentoo,4550.0
Gentoo,4800.0
Gentoo,5200.0
Gentoo,4400.0
Gentoo,5150.0
Gentoo,4650.0
Gentoo,5550.0
Gentoo,4650.0
